Teams,2017 D Rating,2017 O Rating,2018 D Rating,2018 O Rating
ARZ,87,83,79,77
ATL,80,89,85,87
BLT,85,80,85,77
BUF,80,80,81,75
CAR,78,84,83,81
CHI,82,78,81,77
CIN,80,79,83,77
CLV,78,76,79,81
DAL,83,88,83,87
DEN,87,80,85,77
DET,79,84,81,83
GB,81,90,85,83
HST,90,77,89,75
IND,75,83,75,81
JAX,84,79,91,81
KC,91,82,81,83
LA,86,74,87,85
LAC,82,80,83,83
MIA,77,82,77,81
MIN,89,79,91,79
NE,88,92,87,89
NO,77,87,85,85
NYG,88,85,77,77
NYJ,85,73,81,71
OAK,79,86,83,87
PHI,86,82,97,89
PIT,84,89,81,89
SEA,89,85,87,77
SF,76,75,81,83
TB,81,81,81,79
TEN,79,86,85,85
WAS,78,81,83,87
